Fellow_ID,Student_ID,Time,Mathe,Englisch,Deutsch,Weiteres_Fach,Hoeren,Sprechen,Schreiben,Lesen,Selbstvertrauen,Teamdenken,Reflexionsfaehigkeit,Regeleinhaltung,Hilfsbereitschaft,Konfliktverhalten,Motivation,Lernziele,Elternkontakt_Date,Elternkontakt_Comment,Fehlzeiten,Berufsorientierung_State,Berufsorientierung_Comment,Uebergangsprognose,Active,Kommentar
1,8,4,2,3,1,3,4,6,4,4,5,2,1,4,4,3,4,3,,,20,0,zeigt kein Interesse,C,1,
1,9,1,5,4,5,2,2,5,4,2,4,4,3,5,3,2,4,3,,Eltern stark interessiert,19,0,stark interessiert,B,1,
1,9,2,4,3,5,1,2,6,3,2,3,3,2,4,4,1,3,4,07.05.2019,Eltern stark interessiert,17,0,stark interessiert,C,1,
1,9,3,3,2,5,2,2,5,3,1,2,3,3,4,3,1,2,3,,,18,0,,D,1,
1,9,4,2,3,4,1,2,6,2,1,2,2,2,3,4,1,3,3,,,16,1,,D,1,
1,10,1,5,1,2,3,2,2,4,4,1,4,4,4,4,2,3,2,07.05.2019,Eltern wirken sehr desinteressiert,20,0,stark interessiert,C,1,
1,10,2,4,2,1,4,1,3,5,3,1,3,4,4,3,3,4,2,07.05.2019,Eltern stark interessiert,12,0,,C,1,
1,10,3,3,1,1,4,1,2,6,3,1,4,3,4,2,2,4,1,,Eltern wirken sehr desinteressiert,4,0,stark interessiert,D,1,
1,10,4,4,2,1,4,1,1,5,3,1,5,4,4,1,3,5,2,07.05.2019,,11,0,,D,1,
1,11,1,3,6,5,5,1,2,3,6,2,4,4,2,3,1,1,3,07.05.2019,,9,1,,C,1,
1,11,2,3,5,5,4,2,3,2,5,1,5,3,2,2,1,1,4,,Eltern wirken sehr desinteressiert,1,1,,D,1,
1,11,3,4,4,5,4,1,4,2,6,2,5,3,2,1,1,1,5,,,15,0,stark interessiert,C,1,
1,11,4,4,3,5,4,1,3,1,6,1,6,2,3,1,2,1,6,07.05.2019,,8,0,stark interessiert,D,0,
1,12,1,6,3,2,3,5,4,4,2,2,4,4,3,4,1,3,4,,,3,1,zeigt kein Interesse,C,1,
1,12,2,5,2,3,3,5,5,3,1,3,3,3,4,3,1,2,4,,Eltern stark interessiert,19,1,zeigt kein Interesse,C,0,
1,13,1,4,4,6,6,5,4,2,4,2,5,6,4,4,6,2,5,07.05.2019,,13,1,stark interessiert,A,1,
1,13,2,5,5,5,6,5,4,1,3,3,4,6,3,5,5,1,5,07.05.2019,Eltern wirken sehr desinteressiert,5,1,,A,0,
2,14,1,3,1,1,3,5,2,2,4,5,2,3,6,2,4,1,3,,,3,0,zeigt kein Interesse,D,1,
2,14,2,2,1,1,4,5,1,3,5,4,3,3,6,3,3,1,3,,,3,0,,C,1,
2,14,3,3,1,1,3,4,1,3,6,3,2,2,5,2,4,1,3,,Eltern wirken sehr desinteressiert,1,0,,D,1,
2,14,4,2,1,1,3,3,1,2,5,2,2,1,4,1,4,1,4,07.05.2019,,12,0,,D,1,
2,15,1,5,2,5,3,6,2,5,5,5,1,6,2,5,4,5,4,07.05.2019,Eltern stark interessiert,7,1,,A,1,
2,15,2,4,1,5,4,5,3,4,6,6,1,5,1,4,4,4,5,07.05.2019,Eltern stark interessiert,2,1,zeigt kein Interesse,B,1,
2,15,3,3,1,5,5,4,2,4,5,5,1,4,2,3,4,4,5,07.05.2019,,16,1,stark interessiert,C,1,
2,15,4,4,1,4,4,3,3,3,4,4,2,3,1,3,3,4,6,07.05.2019,Eltern wirken sehr desinteressiert,12,1,,C,1,
2,16,1,5,6,3,3,6,3,2,5,3,1,2,4,3,1,1,3,07.05.2019,,7,0,,C,1,
2,16,2,4,6,3,2,6,3,3,5,3,2,1,3,3,2,2,2,07.05.2019,Eltern stark interessiert,1,0,zeigt kein Interesse,C,1,
2,16,3,3,5,4,2,5,4,2,6,2,3,2,3,4,1,1,3,,Eltern wirken sehr desinteressiert,0,1,,C,1,
2,16,4,2,5,4,1,5,5,1,6,1,3,1,2,3,1,1,4,07.05.2019,,2,0,,D,1,
2,17,1,6,5,2,4,2,2,1,4,6,2,3,6,5,5,6,5,,,19,0,,B,1,
2,17,2,6,4,2,4,3,2,1,3,6,3,3,5,4,4,5,5,07.05.2019,Eltern stark interessiert,14,1,,B,1,
2,17,3,5,4,3,4,2,1,1,2,6,3,4,5,3,3,4,6,07.05.2019,,14,1,zeigt kein Interesse,C,1,
2,17,4,6,3,3,3,1,1,1,3,6,3,3,6,2,3,3,6,,,18,0,,C,1,
2,18,1,6,2,4,5,1,6,3,5,1,3,6,5,3,1,4,4,07.05.2019,Eltern wirken sehr desinteressiert,6,1,,B,1,
2,18,2,5,1,5,4,2,6,4,6,1,3,5,4,3,2,4,3,,,10,0,zeigt kein Interesse,B,1,
2,18,3,4,2,6,3,1,5,3,6,1,3,5,3,4,1,3,3,,,18,1,stark interessiert,C,1,
2,18,4,4,3,5,3,1,5,4,6,1,2,6,4,5,1,2,4,07.05.2019,Eltern stark interessiert,1,1,stark interessiert,C,1,
2,19,1,5,5,3,5,2,5,6,1,2,2,2,1,4,2,3,5,07.05.2019,Eltern stark interessiert,7,0,zeigt kein Interesse,C,1,
2,19,2,4,4,2,6,3,4,5,1,2,2,1,1,4,1,2,5,07.05.2019,Eltern stark interessiert,9,1,,D,1,
2,19,3,4,3,1,6,3,3,4,2,3,3,2,1,3,1,1,6,,Eltern wirken sehr desinteressiert,3,0,,D,1,
2,19,4,5,2,1,5,4,2,3,3,4,2,1,1,4,1,1,6,,Eltern stark interessiert,16,1,,D,1,
2,20,1,3,5,2,3,1,3,6,2,3,4,3,3,4,5,5,1,07.05.2019,,13,1,zeigt kein Interesse,C,1,
2,20,2,4,5,1,3,1,4,6,2,2,3,4,4,5,4,4,1,,Eltern stark interessiert,16,0,zeigt kein Interesse,C,1,
2,20,3,3,6,1,2,1,3,5,1,3,4,4,5,6,5,5,1,,Eltern wirken sehr desinteressiert,4,1,,B,1,
2,20,4,3,6,1,3,2,4,4,1,2,4,5,5,6,4,5,2,,,10,0,stark interessiert,B,1,
2,21,1,1,5,4,4,5,5,5,5,2,1,3,4,4,4,3,6,,Eltern stark interessiert,10,0,stark interessiert,B,1,
2,21,2,2,4,4,4,4,4,4,4,1,2,4,3,4,3,4,6,07.05.2019,,1,1,,C,1,
2,21,3,1,3,4,3,4,3,3,3,2,1,3,4,5,2,3,6,07.05.2019,,6,1,,D,1,
2,21,4,1,3,3,2,4,3,4,3,1,1,4,3,4,2,2,6,07.05.2019,Eltern stark interessiert,13,0,,D,1,
2,22,1,5,4,4,2,3,4,3,5,4,4,2,4,2,6,5,2,07.05.2019,,2,0,zeigt kein Interesse,B,1,
2,22,2,4,3,5,1,2,5,3,4,3,3,1,5,1,5,4,2,07.05.2019,,9,1,zeigt kein Interesse,C,1,
2,22,3,5,4,4,1,3,4,2,3,2,3,1,4,1,4,3,1,07.05.2019,Eltern stark interessiert,10,1,,D,1,
2,22,4,4,4,4,2,2,3,1,2,1,4,1,3,1,5,3,2,07.05.2019,,13,0,zeigt kein Interesse,D,1,
2,23,1,3,4,5,6,5,4,6,5,5,3,3,6,4,3,4,5,07.05.2019,,15,0,zeigt kein Interesse,A,1,
2,23,2,2,3,6,6,5,3,6,4,4,4,2,6,5,2,4,5,07.05.2019,Eltern stark interessiert,16,0,,A,1,
2,23,3,3,2,5,6,4,2,6,5,3,5,2,5,4,1,3,6,07.05.2019,,3,1,zeigt kein Interesse,B,1,
2,23,4,4,3,4,6,5,1,6,4,2,4,3,6,4,1,3,6,,,20,0,,B,1,
2,24,1,2,6,3,4,3,4,4,3,2,3,3,3,6,4,3,5,,Eltern stark interessiert,18,1,,B,1,
2,24,2,2,5,2,3,2,5,5,2,3,2,2,2,5,3,2,6,,,19,1,stark interessiert,C,1,
2,24,3,1,4,1,3,1,6,6,2,4,3,3,2,4,3,1,5,07.05.2019,Eltern stark interessiert,11,0,stark interessiert,D,1,
2,24,4,1,3,2,2,2,6,6,1,3,2,2,1,3,2,1,4,,,17,0,zeigt kein Interesse,D,1,
2,25,1,4,4,5,3,4,4,3,6,5,3,5,2,5,4,1,3,,Eltern stark interessiert,5,0,,B,1,
2,25,2,5,3,6,2,4,4,4,5,4,3,4,3,4,4,2,2,,Eltern stark interessiert,16,0,zeigt kein Interesse,B,1,
2,25,3,4,3,5,3,5,4,5,4,5,3,3,2,5,5,1,3,,,10,0,,B,1,
2,25,4,4,2,4,4,6,4,6,5,4,2,4,1,4,4,1,4,07.05.2019,,5,1,,B,1,
3,26,1,2,3,2,6,1,3,2,3,5,2,3,5,2,5,3,6,07.05.2019,,12,0,stark interessiert,C,1,
3,26,2,1,2,3,5,1,2,1,3,4,1,4,4,1,6,2,6,,Eltern wirken sehr desinteressiert,8,0,,D,1,
3,26,3,1,1,3,4,1,3,2,2,3,1,5,4,1,6,1,5,,,5,0,zeigt kein Interesse,D,1,
3,26,4,2,1,2,3,2,2,3,2,2,1,5,4,1,5,1,4,,,3,1,,D,1,
3,27,1,6,3,2,5,5,4,3,2,6,6,5,3,6,2,6,2,,,13,0,stark interessiert,A,1,
3,27,2,6,2,3,5,4,4,2,2,6,6,6,3,6,1,6,1,,Eltern wirken sehr desinteressiert,5,0,,A,1,
3,27,3,6,3,2,5,3,3,1,1,6,6,6,3,6,1,5,2,07.05.2019,,0,0,,B,1,
3,27,4,6,2,3,4,4,4,1,1,6,5,6,4,6,1,4,3,07.05.2019,Eltern stark interessiert,3,1,zeigt kein Interesse,B,1,
3,28,1,4,3,5,3,3,3,6,5,4,1,6,4,3,4,6,2,07.05.2019,Eltern wirken sehr desinteressiert,4,0,,A,1,
3,28,2,5,2,4,4,4,4,5,5,5,1,5,5,2,4,5,3,07.05.2019,Eltern wirken sehr desinteressiert,5,0,,A,1,
3,28,3,4,1,3,3,4,3,5,4,4,1,6,6,3,4,4,3,07.05.2019,Eltern stark interessiert,8,1,stark interessiert,B,1,
3,28,4,3,1,2,2,3,3,5,4,3,1,6,6,2,3,3,2,07.05.2019,,14,1,,C,1,
3,29,1,4,2,5,2,2,3,4,4,6,1,3,3,6,2,3,1,,,9,0,zeigt kein Interesse,C,1,
3,29,2,5,3,5,1,3,4,4,4,6,1,4,2,5,3,2,2,,Eltern stark interessiert,18,1,,C,1,
3,29,3,4,3,4,1,2,5,5,3,6,2,3,1,4,2,3,1,,Eltern stark interessiert,2,1,,C,1,
3,29,4,4,3,3,2,2,5,4,4,6,3,2,1,4,1,3,1,,,15,1,zeigt kein Interesse,C,1,
3,30,1,6,3,1,6,5,4,5,1,2,5,4,1,3,4,6,6,07.05.2019,,17,0,stark interessiert,B,1,
3,30,2,6,2,1,6,6,5,4,1,2,5,4,1,3,3,6,6,,Eltern wirken sehr desinteressiert,19,0,,B,1,
3,30,3,5,2,1,5,6,4,3,2,1,5,4,1,3,4,5,6,07.05.2019,Eltern wirken sehr desinteressiert,0,0,,C,1,
3,30,4,6,1,1,4,6,5,2,3,2,6,4,1,2,3,5,6,07.05.2019,,17,1,,C,1,
3,31,1,3,2,5,2,4,6,4,5,3,5,4,6,3,3,6,1,07.05.2019,,9,1,,A,1,
3,31,2,2,1,5,1,5,6,3,4,3,4,3,6,3,2,5,2,,Eltern wirken sehr desinteressiert,19,1,,B,1,
3,31,3,2,1,4,1,4,5,3,5,4,3,2,6,4,1,5,3,07.05.2019,,8,0,,C,1,
3,31,4,2,1,3,2,3,4,2,6,4,4,1,5,3,1,4,4,,,0,0,zeigt kein Interesse,C,1,
3,32,1,1,6,2,3,1,5,1,3,4,3,4,4,4,3,6,3,07.05.2019,Eltern wirken sehr desinteressiert,2,0,stark interessiert,C,1,
3,32,2,2,6,1,2,1,4,2,2,5,2,3,3,3,3,5,4,07.05.2019,Eltern wirken sehr desinteressiert,1,0,,D,1,
3,32,3,1,5,2,1,1,4,3,1,6,1,2,3,4,2,6,3,07.05.2019,,17,0,,D,1,
3,32,4,1,4,2,1,1,5,2,1,6,1,2,4,5,1,6,3,07.05.2019,,16,0,,D,1,
3,33,1,3,2,4,4,5,3,4,2,3,4,2,2,6,3,1,4,07.05.2019,,1,1,,C,1,
3,33,2,4,2,4,3,4,3,3,3,4,3,3,2,6,3,1,4,,,16,1,stark interessiert,C,1,
3,33,3,3,3,3,2,4,4,2,2,5,4,2,3,5,2,1,5,07.05.2019,Eltern stark interessiert,10,0,,C,1,
3,33,4,3,2,2,1,3,3,3,1,5,3,1,2,4,1,1,5,07.05.2019,Eltern wirken sehr desinteressiert,12,1,,D,1,
3,34,1,3,6,2,4,5,3,4,5,2,5,6,6,4,2,3,3,,,5,0,zeigt kein Interesse,A,1,
3,34,2,2,6,2,3,4,2,5,5,2,4,6,5,3,2,3,4,07.05.2019,,12,1,zeigt kein Interesse,B,1,
3,34,3,2,6,3,2,5,1,5,4,1,5,5,4,3,1,2,3,,,18,0,,C,1,
3,34,4,1,5,3,3,4,1,6,4,1,5,6,3,4,1,3,4,07.05.2019,Eltern wirken sehr desinteressiert,1,0,,C,1,
3,35,1,5,3,5,3,5,1,5,5,1,3,4,4,6,5,2,2,07.05.2019,,6,0,stark interessiert,B,1,
3,35,2,6,2,6,3,4,2,6,6,1,3,5,4,6,5,1,2,07.05.2019,Eltern wirken sehr desinteressiert,3,1,stark interessiert,A,1,
3,35,3,5,1,6,2,3,2,6,5,1,3,5,4,6,5,1,3,07.05.2019,Eltern stark interessiert,13,0,,B,1,
3,35,4,6,1,6,2,3,3,5,5,1,2,4,5,6,6,1,2,,Eltern wirken sehr desinteressiert,5,0,,B,1,
1,36,2,4,3,1,3,3,2,2,3,3,2,4,5,4,6,6,2,,,1,0,,C,1,
1,36,3,5,2,2,4,2,3,1,2,4,2,3,6,5,6,6,3,07.05.2019,Eltern stark interessiert,5,1,zeigt kein Interesse,B,1,
1,36,4,5,2,2,3,3,2,1,2,4,2,4,5,4,5,5,4,,Eltern stark interessiert,15,1,,C,1,
1,37,2,4,4,3,2,5,3,1,3,4,6,4,5,6,2,2,3,07.05.2019,Eltern wirken sehr desinteressiert,14,0,,B,1,
1,37,3,5,4,4,2,5,2,1,2,4,5,3,5,5,1,3,2,,,11,0,stark interessiert,C,1,
1,37,4,4,4,3,2,6,1,1,1,3,5,4,5,5,2,2,3,07.05.2019,,13,0,,C,1,
1,38,3,1,3,5,6,6,5,2,5,4,6,3,3,3,5,3,4,,,18,0,,A,1,
1,38,4,1,3,4,5,6,4,2,6,4,6,3,2,3,4,3,5,07.05.2019,Eltern wirken sehr desinteressiert,19,0,zeigt kein Interesse,B,1,
1,39,3,5,1,5,3,4,3,4,1,4,4,2,4,2,3,5,2,07.05.2019,Eltern stark interessiert,2,0,zeigt kein Interesse,C,1,
1,39,4,4,2,4,4,5,2,4,1,3,5,1,3,3,3,4,3,,Eltern stark interessiert,13,0,,C,1,
